60479,822858,5.3,Sublime (2007),R | 1h 53min | Drama/ Horror/ Mystery | Video 13 March 2007,"A man gets a colonoscopy. He wakes up in a hospital bed after a wrong operation. He's confused/scared and thinks back at talks at his 40th birthday party about hospital errors, scams etc."
60482,787523,6.9,Nothing Is Private (2007),18 | 2h 4min | Drama | 3 November 2011 (South Korea),"A young Arab-American girl struggles with her sexual obsession, a bigoted Army reservist and her strict father during the Gulf War."
60484,39090,7.1,Waga seishun ni kuinashi (1946),1h 50min | Drama | 29 October 1946 (Japan),"The daughter of a politically disgraced university professor struggles to find a place for herself in love and life, in the uncertain world of Japan leading into WWII."
60487,60550,8.2,"It's the Great Pumpkin, Charlie Brown (1966)",7 | 25min | Animation/ Comedy/ Family | TV Movie 27 October 1966,The Peanuts gang celebrates Halloween while Linus waits for the Great Pumpkin.
60490,1210351,7.3,Lost Islands (2008),1h 43min | Comedy/ Drama | 3 July 2008 (Israel),A family in the 80s with five kids get into a crisis when twin brothers fall in love with the same girl.
60494,42274,6.1,Borderline (1950),12 | 1h 28min | Crime/ Drama/ Film-Noir | 1 March 1950 (USA),"Two undercover agents infiltrate a drug-smuggling ring in Mexico, but neither is aware of the other's identity."
60503,879843,7,Katyn (2007),2h 2min | Drama/ History/ War | 21 September 2007 (Poland),An examination of the Soviet slaughter of thousands of Polish officers and citizens in the Katyn forest in 1940.
60508,170351,6,Pan Tadeusz (1999),2h 27min | Drama/ History/ Romance | 22 October 1999 (Poland),"In the early 1810s, Poles, part of Russia's client state of Lithuania, think independence will come if they join forces with Napoleon when he invades Russia. This unity of purpose, in one district, is undermined by two families, feuding since the head of one shot the head of the other twenty years before. There are hopes of a reconciliation through a marriage of Pan Tadeusz, a Soplica, whose father, the murderer, is in hiding somewhere, and Zosia, a teen-aged girl, a Horeszko who lives in the household of Pan's uncle. Other cross-currents - of love, family, politics, village traditions, land reform, and what it means to be Polish - give the film texture. It's an exile's story."
60514,373051,5.8,Journey to the Center of the Earth (2008),All | 1h 33min | Action/ Adventure/ Family | 18 December 2008 (South Korea),"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth."
60516,765476,5,Meet Dave (2008),12 | 1h 30min | Adventure/ Comedy/ Family | 11 July 2008 (USA),"A crew of miniature aliens operate a spaceship that has a human form. While trying to save their planet, the aliens encounter a new problem, as their ship becomes smitten with an Earth woman."
60522,1050160,5.9,Kataude mashin garu (2008),1h 36min | Action/ Comedy/ Horror | 23 May 2008 (USA),"Maimed while seeking revenge, a girl becomes stronger than ever."
60524,470679,5.3,August (2008),18 | 1h 28min | Drama | 8 October 2009 (South Africa),"August centers on two brothers fighting to keep their start-up company afloat on Wall Street during August 2001, a month before the 9/11 terrorist attacks."
60526,472071,5.8,Death Defying Acts (2007),15 | 1h 37min | Drama/ History/ Romance | 27 March 2008 (South Korea),"On a tour of Britain in 1926, Harry Houdini (Guy Pearce) enters into a passionate affair with a psychic out to con him."
60530,869977,6.7,Naissance des pieuvres (2007),15 | 1h 25min | Drama/ Romance | 13 August 2020 (South Korea),"After meeting at a local pool over their summer break, a love triangle forms between three adolescent girls, which proves difficult to sustain as they each desire the love of another."
60538,492486,4.7,Shrooms (2007),1h 24min | Comedy/ Horror/ Mystery | 23 November 2007 (Ireland),A group of friends are stalked and murdered whilst looking for psilocybin mushrooms in the Irish woods.
60544,424971,6.7,Drabet (2005),1h 40min | Drama | 26 August 2005 (Denmark),"A college professor abandons his family and his career in order to champion his mistress, a student radical accused of killing a policeman."
60546,245027,7.5,Bænken (2000),1h 33min | Drama | 27 October 2000 (Denmark),Kaj is an alcoholic living on the money the Danish state is providing him. Him and his friends spend their time drinking beer at a public bench. One day Kaj's life turns upside down when a young lady and her child moves in next to him.
60551,901475,6.9,Soom (2007),15 | 1h 24min | Drama | 29 April 2007 (South Korea),A love story involving a convicted prisoner who 'slowly falls for a woman who decorates his prison cell'.
60566,1024942,7.2,Kærlighed pa film (2007),1h 40min | Crime/ Drama/ Thriller | 24 August 2007 (Denmark),"Life in the suburbs as a father of two has worn down Jonas. When a victim of a car crash mistakes him for her boyfriend Sebastian, things take a very dramatic turn as the line between truth and deception is erased."
